activation,hidden_nodes,lr,dropout,lambda1,lambda2,optimizer,momentum,train_acc,val_acc,final_loss
sigmoid,"[64, 64]",0.001,0.0,0.0,0.0,adam,0.0,0.533125,0.53,0.9485063255690661
sigmoid,"[64, 64]",0.001,0.0,0.0,0.0,momentum,0.9,0.34291666666666665,0.31,1.4855425188640599
sigmoid,"[64, 64]",0.001,0.0,0.0,0.0,momentum,0.99,0.29625,0.32666666666666666,2.714647950010496
sigmoid,"[64, 64]",0.001,0.0,0.0,0.0001,adam,0.0,0.5264583333333334,0.535,1.1138374587567565
sigmoid,"[64, 64]",0.001,0.0,0.0,0.0001,momentum,0.9,0.340625,0.33,2.816763411147557
sigmoid,"[64, 64]",0.001,0.0,0.0,0.0001,momentum,0.99,0.3333333333333333,0.3333333333333333,4.770212388523058
sigmoid,"[64, 64]",0.001,0.0,0.0,0.01,adam,0.0,0.5027083333333333,0.495,14.517226258869869
sigmoid,"[64, 64]",0.001,0.0,0.0,0.01,momentum,0.9,0.36854166666666666,0.37,20.673801270381443
sigmoid,"[64, 64]",0.001,0.0,0.0,0.01,momentum,0.99,0.335625,0.3283333333333333,18.66353306950409
sigmoid,"[64, 64]",0.001,0.0,0.0001,0.0,adam,0.0,0.5547916666666667,0.525,1.1694559008483243
sigmoid,"[64, 64]",0.001,0.0,0.0001,0.0,momentum,0.9,0.35291666666666666,0.3466666666666667,1.9911121837937888
sigmoid,"[64, 64]",0.001,0.0,0.0001,0.0,momentum,0.99,0.3333333333333333,0.3333333333333333,2.4675028567580246
sigmoid,"[64, 64]",0.001,0.0,0.0001,0.0001,adam,0.0,0.564375,0.5516666666666666,1.3180066181143602
sigmoid,"[64, 64]",0.001,0.0,0.0001,0.0001,momentum,0.9,0.33791666666666664,0.3283333333333333,2.3910685324275773
sigmoid,"[64, 64]",0.001,0.0,0.0001,0.0001,momentum,0.99,0.3333333333333333,0.3333333333333333,3.7808583725095106
sigmoid,"[64, 64]",0.001,0.0,0.0001,0.01,adam,0.0,0.51875,0.52,14.168891887589556
sigmoid,"[64, 64]",0.001,0.0,0.0001,0.01,momentum,0.9,0.34520833333333334,0.35833333333333334,18.779558146760245
sigmoid,"[64, 64]",0.001,0.0,0.0001,0.01,momentum,0.99,0.3747916666666667,0.37833333333333335,18.42634008059276
sigmoid,"[64, 64]",0.001,0.5,0.0,0.0,adam,0.0,0.5160416666666666,0.5016666666666667,1.9977879720988616
sigmoid,"[64, 64]",0.001,0.5,0.0,0.0,momentum,0.9,0.304375,0.32,3.1526696027276966
sigmoid,"[64, 64]",0.001,0.5,0.0,0.0,momentum,0.99,0.3333333333333333,0.3333333333333333,4.339387403531608
sigmoid,"[64, 64]",0.001,0.5,0.0,0.0001,adam,0.0,0.51875,0.48833333333333334,2.1510505680864824
sigmoid,"[64, 64]",0.001,0.5,0.0,0.0001,momentum,0.9,0.31958333333333333,0.33,3.601731187904192
sigmoid,"[64, 64]",0.001,0.5,0.0,0.0001,momentum,0.99,0.323125,0.3283333333333333,3.3373273958807514
sigmoid,"[64, 64]",0.001,0.5,0.0,0.01,adam,0.0,0.3935416666666667,0.355,15.057043500330458
sigmoid,"[64, 64]",0.001,0.5,0.0,0.01,momentum,0.9,0.3595833333333333,0.3416666666666667,20.37965412027484
sigmoid,"[64, 64]",0.001,0.5,0.0,0.01,momentum,0.99,0.3333333333333333,0.3516666666666667,19.68839703439549
sigmoid,"[64, 64]",0.001,0.5,0.0001,0.0,adam,0.0,0.5302083333333333,0.5366666666666666,2.343426165812088
sigmoid,"[64, 64]",0.001,0.5,0.0001,0.0,momentum,0.9,0.3335416666666667,0.3333333333333333,4.258458432199353
sigmoid,"[64, 64]",0.001,0.5,0.0001,0.0,momentum,0.99,0.3333333333333333,0.3333333333333333,3.4268257771607535
sigmoid,"[64, 64]",0.001,0.5,0.0001,0.0001,adam,0.0,0.50625,0.48833333333333334,2.4771236489361934
sigmoid,"[64, 64]",0.001,0.5,0.0001,0.0001,momentum,0.9,0.24729166666666666,0.235,4.7178112160446295
sigmoid,"[64, 64]",0.001,0.5,0.0001,0.0001,momentum,0.99,0.3329166666666667,0.3333333333333333,4.456034416687047
sigmoid,"[64, 64]",0.001,0.5,0.0001,0.01,adam,0.0,0.41770833333333335,0.38166666666666665,15.021055431727401
sigmoid,"[64, 64]",0.001,0.5,0.0001,0.01,momentum,0.9,0.396875,0.3883333333333333,20.43825017875908
sigmoid,"[64, 64]",0.001,0.5,0.0001,0.01,momentum,0.99,0.3333333333333333,0.3333333333333333,21.796863125643178
sigmoid,"[64, 64]",0.0001,0.0,0.0,0.0,adam,0.0,0.2708333333333333,0.26666666666666666,1.359782423122047
sigmoid,"[64, 64]",0.0001,0.0,0.0,0.0,momentum,0.9,0.376875,0.38666666666666666,3.455032237764576
sigmoid,"[64, 64]",0.0001,0.0,0.0,0.0,momentum,0.99,0.34,0.345,2.703993019823736
