activation,hidden_nodes,lr,dropout,lambda1,lambda2,optimizer,momentum,train_acc,val_acc,final_loss
sigmoid,"[32, 32]",0.001,0.0,0.0,0.0,adam,0.0,0.8260869565217391,0.8478260869565217,0.41626598922340646
sigmoid,"[32, 32]",0.001,0.0,0.0,0.0,momentum,0.8,0.4470108695652174,0.44565217391304346,1.0709695535578327
sigmoid,"[32, 32]",0.001,0.0,0.0,0.0,momentum,0.9,0.4483695652173913,0.43478260869565216,0.9810046342638321
sigmoid,"[32, 32]",0.001,0.0,0.0,0.0,momentum,0.99,0.39809782608695654,0.3804347826086957,1.2725043766108282
sigmoid,"[32, 32]",0.001,0.0,0.0,0.0001,adam,0.0,0.7975543478260869,0.7934782608695652,0.5462087254591388
sigmoid,"[32, 32]",0.001,0.0,0.0,0.0001,momentum,0.8,0.5855978260869565,0.5434782608695652,0.9929313887921897
sigmoid,"[32, 32]",0.001,0.0,0.0,0.0001,momentum,0.9,0.4361413043478261,0.44565217391304346,1.127888848490946
sigmoid,"[32, 32]",0.001,0.0,0.0,0.0001,momentum,0.99,0.5230978260869565,0.4782608695652174,1.0286173934395508
sigmoid,"[32, 32]",0.001,0.0,0.0,0.001,adam,0.0,0.7391304347826086,0.782608695652174,1.3758373470572505
sigmoid,"[32, 32]",0.001,0.0,0.0,0.001,momentum,0.8,0.03940217391304348,0.010869565217391304,2.5244438357481487
sigmoid,"[32, 32]",0.001,0.0,0.0,0.001,momentum,0.9,0.360054347826087,0.40217391304347827,2.42144829494548
sigmoid,"[32, 32]",0.001,0.0,0.0,0.001,momentum,0.99,0.5502717391304348,0.5217391304347826,1.3642251105711898
sigmoid,"[32, 32]",0.001,0.0,0.0,0.01,adam,0.0,0.7894021739130435,0.782608695652174,5.873921581406108
sigmoid,"[32, 32]",0.001,0.0,0.0,0.01,momentum,0.8,0.5679347826086957,0.5760869565217391,7.776702425425043
sigmoid,"[32, 32]",0.001,0.0,0.0,0.01,momentum,0.9,0.6793478260869565,0.6304347826086957,7.571064195506536
sigmoid,"[32, 32]",0.001,0.0,0.0,0.01,momentum,0.99,0.6046195652173914,0.5760869565217391,7.486699617316561
sigmoid,"[32, 32]",0.001,0.0,0.0001,0.0,adam,0.0,0.7921195652173914,0.8152173913043478,0.5836833436165444
sigmoid,"[32, 32]",0.001,0.0,0.0001,0.0,momentum,0.8,0.4008152173913043,0.391304347826087,1.124692391637171
sigmoid,"[32, 32]",0.001,0.0,0.0001,0.0,momentum,0.9,0.6345108695652174,0.6086956521739131,0.8048541208947961
sigmoid,"[32, 32]",0.001,0.0,0.0001,0.0,momentum,0.99,0.0,0.0,3.7336071646426348
sigmoid,"[32, 32]",0.001,0.0,0.0001,0.0001,adam,0.0,0.7866847826086957,0.8152173913043478,0.7156373717007916
